cue,escuela,lat,lon,estado,motivo,localidad
061804400,ESCUELA DE EDUCACIÓN SECUNDARIA N°60,-34.636491,-58.563043,rojo,Aulas en uso sin calefacción,VILLA SARMIENTO
061115700,ESCUELA DE EDUCACIÓN SECUNDARIA Nº11 AMERICA LIBRE,-34.678336,-58.621273,rojo,Techos en estado malo,MORON
060615900,ESCUELA DE EDUCACIÓN SECUNDARIA Nº22,-34.658380,-58.599586,rojo,Sectores del edificio clausurados,MORON
060561200,ESCUELA DE EDUCACIÓN SECUNDARIA Nº31 MANUEL DORREGO,-34.649367,-58.624371,rojo,Aulas en uso sin calefacción,MORON
061804700,ESCUELA DE EDUCACIÓN SECUNDARIA Nº48,-34.682181,-58.631458,rojo,Techos en estado malo,MORON
061726900,ESCUELA DE EDUCACIÓN SECUNDARIA Nº49,-34.647205,-58.619143,rojo,Paredes en estado malo,MORON
061518100,ESCUELA DE EDUCACIÓN TEMPRANA Nº 1,-34.658615,-58.609971,rojo,Techos en estado malo,MORON
060616100,ESCUELA ESPECIAL Nº501 DOÑA MARTA RAMOS MEXIA DE GÜEMES,-34.640847,-58.580473,rojo,Salidas de emergencia obstruidas,HAEDO
060554200,ESCUELA ESPECIAL Nº503,-34.652217,-58.622894,rojo,Aulas en uso sin calefacción,MORON
069001000,INSTITUTO NACIONAL DE AVIACION CIVIL,-34.673142,-58.630997,rojo,Aulas en uso sin calefacción,MORON
062406400,JARDÍN DE INFANTES DE CARÁCTER COMUNITARIO N°1,-34.704156,-58.641496,rojo,Sin agua corriente,MORON
060268600,JARDÍN DE INFANTES Nº901,-34.658355,-58.640420,rojo,Techos en estado malo,CASTELAR
060052600,JARDÍN DE INFANTES Nº903 AVIADOR MILITAR SGTO. GOMEZ,-34.609160,-58.593005,rojo,Techos en estado malo,EL PALOMAR
060423000,JARDÍN DE INFANTES Nº904 JOSÉ PEDRONI,-34.636431,-58.564651,rojo,Salidas de emergencia obstruidas,VILLA SARMIENTO
